ItemID,Sentiment,SentimentText
1045135,0,noooooooooooo harry potter premiere today and i have to work s t ah i don t like it anyway but i wanted to see hermione 
1045136,0,noooooooooooo its messing up
1045137,0,noooooooooooo my pc got boned where d my work go
1045138,0,noooooooooooo nadal withdrew from wimbledon 
1045139,0,noooooooooooo who pinged me im not lookin ur soo mean i sed no pingin and u ping im gonna b strong how do i turn the flashin light off 
1045140,0,noooooooooooo i just put my ipod shuffle through the washing machine rip podlette 
1045141,0,nooooooooooooo rafael nadal just lost i can t believe it first defeat in 5 years in roland garros 
1045142,0,nooooooooooooo i cant hear max on the radio 
1045143,0,nooooooooooooo amanda s cut her hair i loved her hair 
1045144,0,nooooooooooooo the cab show for chian reaction is sold out
1045145,0,noooooooooooooo bye for a day
1045146,0,noooooooooooooo only 1 day left
1045147,0,nooooooooooooooo back to tall scary building now 
1045148,0,nooooooooooooooo school today but the worst part is that i wont be able to tweet troughout the day
1045149,0,nooooooooooooooo margaret is leaving the apprentice apprentice
1045150,0,noooooooooooooooo ipod death whenever i press anything i just get a faint grey bar on the screen and nothing happens boo
1045151,0,noooooooooooooooo i have lost my art essay for friday s exam i never lose things
1045152,0,nooooooooooooooooo the cheer music store website crashed too many people on at the same time i guess
1045153,0,noooooooooooooooooo billy vs snakeman is down now i think i am going to cry
1045154,1,listening to the ghostbusters song 
1045155,1,listening to the good stuff and thinking of him
1045156,0,listening to the graduation song by vitamin c trying not to burst into tears 
1045157,0,listening to the hope amp social album and cursing the rain as it s middlesbrough music live festival today
1045158,1,listening to the jen and dave show and eating some sesame chicken 
1045159,1,listening to the jonas brothers self titled album awww they re so cute 
1045160,1,listening to the kills enjoying life
1045161,0,listening to the last in the series of the news quiz bbc radio 4 what will i do without my favourite scandanavian lesbian each week
1045162,1,listening to the latest mothh episode
1045163,1,listening to the magnetic fields i don t want to get over you such a cute song 
1045164,1,listening to the maine can t wait for warpedddddddd it s gonna be great
1045165,1,listening to the mars volta for the first time sounds pretty good 
1045166,0,listening to the metal hammer podcast s download review ahhhh i want to go back
1045167,1,listening to the mikey show always brightens up my morning
1045168,1,listening to the mitchel musso premiere on radio disney
1045169,1,listening to the mix cd kayla burned me
1045170,1,listening to the morning light 
1045171,1,listening to the music bobfromhuddle put on my mp3 player love it 
1045172,1,listening to the new thesonicyouth while i email having trouble concentrating 
1045173,1,listening to the new daniel merriweather album quot love and war quot courtesy of josephdexter i m loving the duet with adele
1045174,1,listening to the new dave matthews band album kudos love it so far soaks up any and all worries and concerns 
1045175,1,listening to the new dmb cd 
1045176,1,listening to the new green day album fingers crossed 
1045177,0,listening to the new jb song paranoid a time new sound for sure still miss their old sound mandy year 3000 underdog etc 
1045178,1,listening to the new placebo album that last song is great http bit ly 17gp1l
1045179,1,listening to the new placebo album mmmm
1045180,0,listening to the oc soundtrack i miss the oc
1045181,1,listening to the online radio oldies
1045182,0,listening to the pet shop boys new album for the second time got it yesterday at last and i still don t think it s much cop 
1045183,1,listening to the phantom of the opera on my way back to the city
1045184,0,listening to the pouring rain need to start on my assignment like now 
1045185,0,listening to the prayer http bit ly ki51q iranelection i m canadian peace the children please sincere here 
1045186,1,listening to the radio
1045187,1,listening to the radio now
1045188,1,listening to the radio waiting for mcfly
1045189,0,listening to the rain and watching the lights flicker sorry baby you re tivo was interrupted 
1045190,0,listening to the rain in her office if only i had a window to see it
1045191,0,listening to the rain on the conservatory roof
1045192,1,listening to the rain 
1045193,1,listening to the rain falling asleep
1045194,0,listening to the sad sounds of rain
1045195,1,listening to the song kristy are you doing okay on itunes obsessed with that song right now
1045196,0,noooooooooooooooooo not the wall 99 nascar
1045197,0,noooooooooooooooooooooooooo i m still woke
1045198,0,nooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo it s legitimate i cried my poor bff
1045199,0,nooot impressed that everyone has taken today off work
1045200,1,nooow i m really going yo bed night all twiters
1045201,1,nope a night in with you shit tv oh happy days in a sister act stylee 
1045202,0,nope no terminator today chnage of plans
1045203,0,nope not busted no fun
1045204,0,nope not yet
1045205,0,nope people in the usa can t get jannarden s single yet it might be available soon but i don t know when
1045206,0,nope sorry now r i p cleo he s floating to the top lt 3 well half floating 
1045207,0,nope taking id rather take a shower no a bath to bad my parents throw all there dirty underwear in the tub
1045208,0,nope the image uploader is still screweed
1045209,1,nope he met a few other ladies at the races but he met his wife at a quot local establishment quot on state road translation bar
1045210,1,nope made it up just sounded like a product name that would be linked to salmonella and other poisonings 
1045211,0,nope never ending speaking of i m at work right now
1045212,0,nope no online create yet
1045213,0,nope not a dream i actually did meet no doubt gt but now its ap review time
1045214,0,nope not longer but i m not in as much pain now that is a good thing what to eat for dinner pudding soup applesauce hmm
1045215,0,nope not tonight found something else i was missing 
1045216,1,nope they decided to close the one they were going to make in the mall lt 3
1045217,0,nope it was just my neighbors being stupid to their dog i guess the quot someone dying quot was just wishful thinking 
1045218,0,nope no soccer for me i gotta clean 
1045219,0,nope not yet
1045220,1,nope i don t have to think you re not right you re so wrong i love you and i don t wuuuussshhh it s soo true you ll just never admit it
1045221,0,nopee my computer is really slow and might freeze 
1045222,1,nops 95 right lol
1045223,0,nor efe nor my hermeneutics teacher are at school so i am stranded here without no good reason oh turns out i never did the hgh paper 
1045224,1,nor the whore amp i are creating beatmagic who sleeps these days bitch we need to git famous 
1045225,1,norah jones and renee olstead maybe a little diana krall oh and photoshop there are worse ways to be working 
1045226,1,norderney was fucking nice
1045227,1,nordstrom s has great custumer service having some articles of clothing set aside for a member was extremely quot user friendly quot thanks 
1045228,0,normal people are going 2 sleep im going 2 work 
1045229,0,normally i would enjoy my fri off but with all this thinking i would much rather be at work 
1045230,1,normally i d be writing my story at this time but i m reading all the new magazines i got haha
1045231,0,normally i m pretty good at not letting people get to me but this time i can t seem to shake it off 
1045232,0,norrland done it was different back in sthlm chillin will miss busy rub a dub sundays cuz no tickets available 2 malmã not good
1045233,1,listening to the sound of the rain hitting my window
1045234,1,listening to the sounds of sensation live loved eery second of new years because of it x
1045235,1,listening to the soundtrack to beauty and the beast until the best friends get here
1045236,0,listening to the stereo hoping that it doesn t break again it would be the fourth time in 1 year 
1045237,1,listening to the thing things from youtube
1045238,1,listening to the timewriter and doing admin stuff isn t receiving vinyl in the post always nice thanks aquasky_uk
1045239,1,listening to the traveling song completely addicted
1045240,1,listening to the twilight soundtrack
1045241,1,listening to the veronicas
1045242,1,listening to the veronicas jesssicababesss would be proud
1045243,1,listening to the whisper of hopes n dreams fulfilled in beautiful music love the train
1045244,1,listening to the wicked soundtrack non stop wow so good
1045245,1,listening to thick as thieves 
1045246,1,listening to this morning s alex lester show in bursts some top tunes playing currently boy meets girl waiting for a star to fall
1045247,0,listening to this on imeem this is an amazing soundtrack i have to say http is gd 17hot if it was for sale in uk i d buy it now 
1045248,1,listening to this song by tank called when
1045249,1,listening to this song right now i adore it â http blip fm 8afub
1045250,0,listening to this while i pack for the airport http bit ly eiydb
1045251,1,listening to tmf music amp amp browsing on the internet
1045252,1,listening to to make you feel my love but kris allen version this song is just so sweet haha 
1045253,1,listening to tobymac not sad anymore
1045254,1,listening to tom petty and i m free free falling
1045255,1,listening to toots and the maytals is a must on a day like today
1045256,1,listening to tracks by jon mclaughlin and jack johnson and napping almost the perfect remedy for a rainy afternoon 
1045257,1,listening to twilight soundtrack and working on the computer
1045258,1,listening to twisted by our sexy grown men lol a little bit twisted can feel your heart you want me to twist it for ya quot 
1045259,1,listening to ulysses by franz ferdinand got an enya cd today so i m so happy
1045260,1,listening to very jon amp oscar tg s mixes of rise of the robots wow
1045261,0,listening to very unhappy little camper makig a huge fuss about his haircut even watching big brother didn t help poor little guy 
1045262,0,listening to vfactorys songs amp knowing they re gunna be somewhere in jersey makes me sad
1045263,1,listening to waiting for yesterday
1045264,1,listening to walking on the moon lt 3 fave song
1045265,1,listening to waltz more fftl
1045266,0,listening to wat he told george so she knows its not bullshit bye
1045267,1,listening to water sounds flowing brooks waterfalls rain that works to help stress or sleep
1045268,1,listening to we came as romans
1045269,1,listening to weezer s island in the sun
1045270,1,listening to why are people running song yess yess i love it
1045271,1,listening to william shatner s song in love 
1045272,1,listening to within temptation sharon has a one of a kind voice my favorite singer along with tarja turunen
1045273,1,north carolina here i come 
1045274,1,north country greens and yellows beautiful
1045275,0,north korea pushed forward with preparations to test fire more missiles long range that could reach alaska not looking good
1045276,0,north korean k jong il eats live fish http bit ly 1uloku
1045277,0,north park for jared s cousin s baby shower wish it was warmer 
1045278,1,northern downpour sends it love
1045279,1,northern ireland roll call urbantorque party tonight at yello belfast
1045280,1,northing to add tenacious d fuck her gently http blip fm 4mol0
1045281,1,northolt is glorious
1045282,1,northside what what taken x rays for the broken
1045283,0,norway didn t deserve all the votes they got they weren t that remarkable and there was better performances 
1045284,0,norway lost against makedonia
1045285,0,norway won again nationalism hurts
1045286,1,norway won im soooo happy quot i m in love with a fairytale quot and he is craaaaazzyy hot alexander rybak i think i m in love lt 3
1045287,1,norway did you know i am a true viking at heart via billyraycyrus omg you replied cindof that s so cool it just made my day
1045288,0,nose bleed sick 
1045289,0,nose hurts like a bitch had to repeirce it myself feels like i broke it 
1045290,0,nose is blocked head hurts and so does my throat i hate being sick and this is totally the wrong time for it too 
1045291,0,nose is glowing like a lightbulb saw dolphins today and a stingray and a murene absolutely exhausted now so sorry to hear nat s news
1045292,0,nose is stuffy can t breathe making my lips and throat very dry bad headache 
1045293,0,nose piercing got hit at all time low concert
1045294,0,nose still hurts and feels a little fat i don t see a bruise so thats good studying for my final all day until 2 when i have it oy
1045295,0,nose stud aghhhhhh im so confused atm
1045296,0,nose stuffies ick why must i be sick at the beginning of summer
1045297,0,nosebleeding
1045298,0,noseless 
1045299,0,nostalgia with mama in this fucking traffic jam haha sooo many things we miss
1045300,1,nostalgia it ain t what it used to be
1045301,0,nostalgic jaunt round nottingham city centre turns slightly sour as i find every single pub i used to frequent is now a branch of subway
1045302,1,nostalgic moment http homestarrunner com quot everyone is different no two people are not on fire awwww quot 
1045303,0,not looking forward to next wednesday at all
1045304,1,not 2 bad at work taking the children to the park
1045305,1,not 4 our kids the hangover is the funniest movie i ve seen in years 2 thumbs way up 5 5 stars a must see that covers it 
1045306,0,not a 4 day weeknd
1045307,0,not a bad day today still no adobecs4 upgrade though
1045308,0,not a beach day maybe tomorrow call me if anyone s at the jersey shore 
1045309,0,not a big fan of being awake at 8am on my day off making a ginormous effort to go back to sleep 
1045310,0,not a big fan of this gloomy weatherrr
1045311,1,not a big feat among all of you pros i just hit 1 000 views in my flickr best ofs http is gd ljxd photostream http is gd ljyf
1045312,1,megan fox screen kissing is f ing gross lol http chilp it dfb7f4
1045313,1,megan is officially a shs graduate congrats meg i cried to be expected meg was beautiful i m the proud mom 
1045314,1,megan park demi lovato ken baumann miley cyrus if any of you guys could message me that would make my day sorry if i forgot someone 
1045315,0,megan io does ur dadddd have swine flu
1045316,0,megan thats mean i dont think so 
1045317,1,megan you should blog about that
1045318,0,megan s gone home and bexewan is getting the train to work i m all alone on the bus
1045319,1,meghan s song matthew perryman jones loves it
1045320,0,meg s okay she just can t remember anything about this morning hopefully she ll come home tonight 
1045321,0,meg s still mad i forgot to buy danecook tickets before they sold out my bad
1045322,1,megs 2 out double for damon
1045323,1,megs well folks there ya have it thanks for hanging around through out tech difficulties see ya for the next game a yankees win
1045324,0,megz d0nt kno smo0n nemore i remeber we were aim buddies dat chat d a l0t lol
1045325,0,meh killer headache won t go away
1045326,0,meh i don t wanna go to work today even if its only for 6 hours 
1045327,1,meh krazzyy krazzyyy as usual foneee maaa ma wholee cycle iz alll jeoparizeeddd lol 
1045328,0,meh nothing exciting happened how dissapointing 
1045329,0,meh saw conan amp liked the opening amp bit at universal studios but thought it went down hill from there will ferrell was lame 1st guest
1045330,0,meh calc2 sucks especially when one is trying to take it over the summer 
1045331,1,meh i d prefer pandora but last fm is cool too xboxe3
1045332,1,meh trent topic closed i m over it life goes on
1045333,0,meh i can t upgrade my wireless customers away from pppoe because of office politics must wait until tuesday 
1045334,0,meh xbox live account suspended unfortunately that s going to have to wait for a while
1045335,0,meh didn t get job it went to the external candidate good feedback tho 
1045336,0,meh hayfever related nosebleeds ftl
1045337,0,meh i can t access my email
1045338,0,meh i can t acess my email
1045339,0,meh i wanan go out todayyyyy with lou sarah madz and azai damnit 
1045340,0,meh it is today again which is tuesday but monday is over which in retrospect isn t good but it should be it was a good monday
1045341,0,meh my fucking pea coat is being held hostage 
1045342,0,meh perfect word to describe how i feel at this moment in time
1045343,0,meh dad s at work for father s day but anyway i m g na be making a cake for when he comes home im not a great cook gt _ lt 
1045344,0,meh ignore that backgrounder officially hasn t been fixed for 3 0 yet now i m sad
1045345,0,meh i have to redo my timetables which right now are irrelevant 
1045346,0,meh bored want mac make up
1045347,1,meheh playing yooyuball at http neopets com
1045348,0,mehh it s raiining again as it has all day come on sunshine where did you goo 
1045349,1,mehh lots of homework today but it s so beautiful outside
1045350,1,mehhhh i have work non stop for 9 days o but i get paid ï ½200
1045351,0,mehhhhhhhh huge spider on the wall
1045352,0,mei goreng fuck yes om nom nom anyone wanna do lunch today p s my phone is broken so sorry if i haven t replied to some msg s
1045353,1,meiko boyfs with girlfriends 
1045354,0,meimei s flying off to canada today smpai bulan depan jeles ku hahaha takecare sayaang 
1045355,0, mein kampf was 66 but i ve ordered a new jacket 
1045356,0,meine freundin ist total spd spd linke 
1045357,0,meine hand schã¼tteln weil ich oh why did he use quot because quot it changes the whole next line s i study xddd
1045358,0,meine mutter ist flying out tonight i ll miss her
1045359,1,mel and i in the car running errands listening to quot i am the walrus quot baby you can drive my car 
1045360,1,mel is playing on facebook
1045361,1,melanie gardot on letterman i picked a good time 2 turn the tv on lt 3 her fb
1045362,1,melbourne mitsubishi pajero 1990 2 800 new ad received and will be posted on the hcc site soon
1045363,1,melbourne toyota coaster 1975 14 950 new ad received and will be posted on the hcc site soon
1045364,1,melbourne toyota hiace 1981 5 000 new ad received and will be posted on the hcc site soon
1045365,1,melissa asked what has she changed views about said she no longer thinks her husband is an idiot
1045366,0,melissa has a fever clocking in at very high registers all that s going through in my head is quot please don t let it be the swine flu quot 
1045367,1,melissa should give taja a pancake
1045368,0,melissa s dog angel is home from the vet 800 dollar vet bill ugh she is still very weak can t walk or even stand up on her own 
1045369,1,melissashea1 hotmail com add it
1045370,0,mello s done could the chosen one be next 
1045371,1,mellow mood stirred with a panic salted rim ahhhhh rainy monday sometimes it just turns out that way 
1045372,0,mellow yorkie
1045373,1,melo dwight final would have the epic final no one expected
1045374,1,melo was killing it but brought it back 1 too many times imo good night
1045375,1,melon and wine in the sunshine
1045376,1,melsea chiecarty s dating service
1045377,1,melt butter in the microwave then pour it on your toast delich 
1045378,0,meltin in da heat y have it hot on an exam day 2 hrs in a hall with no ac not good 
1045379,1,melting pot with blake 
1045380,1,melting thank goodness for friends and swimming pools fuel rehersal now 
1045381,0,membuat naskah yang mellow i hate reality show
1045382,1,memeng overload at my homepage 
1045383,1,memleketime selam sã yleyin benden de re http ff im 3eken
1045384,1,memorial day 2008 in nyc http bit ly mrdps good old times 
1045385,1,memorial day weekend
1045386,1,memorial day weekend how fast did it go ienjoyed it way too muchi think 
1045387,1,memorial day weekend lax championship weekend 
1045388,1,memorial weekend fiesta texas n sea world in san antonio http tinyurl com ptoyy8 http tinyurl co http tinyurl com pwgq9c
1045389,0,memorial weekends went 2 a waste
1045390,1,memories again wow fabulous http blip fm 6t2yy
1045391,0,memories are returning even when you want to forget you cannot
1045392,0,not a bloody number is it asking to much to win a few million quid 
1045393,1,not a cloud in sight beautiful it s not often like this making the most of it can already smell distant bbq s
1045394,1,not a cloud in the sky
1045395,1,not a damn thing on tv lol a 1000 feckin channels and nothing on lol thank god for books
1045396,0,not a damn thing ridin lonely
1045397,0,not a drop of rain in west seattle dry streak still on as far as i m concerned 
1045398,0,not a fan of baby showers why am i forced into these things 
1045399,0,not a fan of chinese food anymore making rororoyourboat a facebook she can t work a computer
1045400,0,not a fan of the new linkin park song i just heard
1045401,0,not a fan of the possibility of a missing plane with todays technology it seems impossible for a plane to be quot missing quot for so long
1045402,0,not a fan of the rest of this week 
1045403,1,not a fan of thunderstorms at all going over to see pookahh
1045404,0,not a gig person definitely hillary and chris you two better love me my ear drums are dyingggg
1045405,1,not a girl not yet a woman 
1045406,0,not a gloomy cloud in the sky they coulda went on the library picnic trip
1045407,0,not a good day my mouth is really hurting me pain meds not working
1045408,0,not a good day 2 run so far maybe later rain lightening amp wind 
1045409,1,not a good day for running a casual gaming site the sun is shining
1045410,0,not a good day for the beach its been raining off and on all day 
1045411,0,not a good day so far hour late for work and im so tired still but we re getting an ac today 
1045412,0,not a good day today school tomorrow
1045413,0,not a good day 
1045414,0,not a good day took my sweety to the airport early this morning gone to israel for sisters wedding a whole week sooooo hard 
1045415,0,not a good day they gave my uncle six weeks 
1045416,0,not a good dentist visit today i might be able to eat dinner if i m lucky an elephant would take less novacaine than me today
1045417,0,not a good evening just found out a family member is in a coma 
1045418,0,not a good run today
1045419,0,not a good start to the morning while stacking up some plates for washing they fell and smashed my pyrex bowl 
1045420,0,not a good start today over slept been sick uniform still wet missed my bus i m super tired hope today goes quickly and nicely
1045421,0,not a good thing to start my monday i lost my glasses
1045422,0,not a good way to end really though fuck my life
1045423,0,not a good way to start the day wtf
1045424,0,not a great morning still coughing and the coughing is now affecting my tummy 
1045425,0,not a great workout today
1045426,0,not a happy bunny
1045427,0,not a happy camper not having a good day at all 
1045428,0,not a happy fucking camper at all 
1045429,0,not a happy spurs fan this am drunk captain ledley king playing the big i am arrested outside a club last night what an inspiration
1045430,0,not a huge fan of the new family guy too much live tv i wish sleep didn t matter and i could talk as long as i could with someone
1045431,1,not a long walk but it ll do 
1045432,1,listening to womanizer on full in bed
1045433,1,listening to yacht eating ice cream and pretending exams don t exist
1045434,1,listening to yes fm and trying to make birthday plans for my birthday trip
1045435,1,listening to youmeatsix poker face cover l l and waiting to watch disturbia
1045436,1,listening to yui soon will be going to my cousin s bday
1045437,0,listening to quot baby come back to me quot i can t sleep its 3 10a m either way i don t want to sleep
1045438,1,listening to carnabeats 01 koi wo shiyoyo jenny morning twitters http bit ly 11fq57
1045439,1,listening to heart of gold neil young on grooveshark on repeat http tinyurl com 3za9vp 
1045440,1,listening to kanye west paranoid great song
1045441,1,listening to rodney atkins 15 minutes silly men http bit ly mjbob
1045442,1,listening to rush bastille day http bit ly pr96j
1045443,1,listening tooo miley cyrus the climb
1045444,1,listening tot the quot dirty dancing quot ost good mood
1045445,1,listening up 1 level
1045446,1,listening vfc music 
1045447,1,listening basement jaxx quot fly life cajmere green velvet mix always dig his work http tinyurl com nsylrg
1045448,1,listening escape the fate ashley soo goood lt 3
1045449,1,listeninn 2 musiccc and gettin somaethin to eatt
1045450,1,listeninq to bleszt nine7three
1045451,1,listenning paramore on radio disney 
1045452,0,listennnningggg to nickelback then going to sarahhs for her graduation they grow up so fast lol lt 3
1045453,0,listernin to eminem cos im kool and its hott yet again so means no sleep
1045454,0,listernin to music hate revision
1045455,1,listernin to the new americas suitehearts remix you should check it out http bit ly fko4u its awesome
1045456,1,listerning to mgnt electric feel great song for a great day 
1045457,1,listing to alt nation thining about the coldplay show on thursday and working on a powerpoint ducks are peeping in their eggs today 
1045458,1,listing to and loving alcopopular 3 what a great way to start a tuesday http tinyurl com bigpop3 x
1045459,0,listing to music in my roomm alone bored 
1045460,0,listing to my mums music
1045461,1,listing to radio disney rich girl gwen stefani is playing
1045462,1,listing to rem work while designing a living room 
1045463,0,listing to some t i cant wait till he gets out
1045464,1,listing to the almighty alexisonfire
